Date,Value,Ratio,HALF_YEAR,VIX_STS,VIX_VAL
1996/01/04,1631.06,100.0,100.0,100.0,13.78
1996/01/05,1632.03,100.05947052836805,100.05947052836805,100.05947052836805,13.58
1996/01/08,1621.42,99.40897330570304,99.40897330570304,99.40897330570304,13.11
1996/01/09,1622.83,99.49542015621743,99.49542015621743,99.49542015621743,15.21
1996/01/10,1617.45,99.16557330815544,99.16557330815544,99.16557330815544,16.4
1996/01/11,1599.98,98.09449069929984,98.09449069929984,98.09449069929984,14.69
1996/01/12,1592.21,97.6181133741248,97.6181133741248,97.6181133741248,14.23
1996/01/16,1603.08,98.28455115078538,98.28455115078538,98.28455115078538,14.09
1996/01/17,1605.01,98.4028791092909,98.4028791092909,98.4028791092909,14.25
1996/01/18,1587.31,97.31769524113153,97.31769524113153,97.31769524113153,13.58
1996/01/19,1585.52,97.2079506578544,97.2079506578544,97.2079506578544,12.7
1996/01/22,1570.39,96.28033303495887,96.28033303495887,96.28033303495887,13.34
1996/01/23,1564.1,95.8946942479124,95.8946942479124,95.8946942479124,13.56
1996/01/24,1573.63,96.47897686167279,96.47897686167279,96.47897686167279,12.54
1996/01/25,1583.64,97.09268819050189,97.09268819050189,97.09268819050189,12.94
1996/01/26,1597.14,97.92037080180988,97.92037080180988,97.92037080180988,12.0
1996/01/29,1593.22,97.68003629541526,97.68003629541526,97.68003629541526,12.19
1996/01/30,1598.14,97.98168062486972,97.98168062486972,97.98168062486972,12.42
1996/01/31,1613.11,98.89948867607568,98.89948867607568,98.89948867607568,12.53
1996/02/01,1624.52,99.59903375718858,99.59903375718858,99.59903375718858,12.65
1996/02/02,1617.51,99.16925189753903,99.16925189753903,99.16925189753903,13.23
1996/02/05,1601.0,98.15702671882089,98.15702671882089,98.15702671882089,13.46
1996/02/06,1602.89,98.27290228440401,98.27290228440401,98.27290228440401,14.59
1996/02/07,1622.14,99.45311637830615,99.45311637830615,99.45311637830615,14.11
1996/02/08,1630.07,99.93930327517074,99.93930327517074,99.93930327517074,13.89
1996/02/09,1620.5,99.35256826848799,99.35256826848799,99.35256826848799,14.63
1996/02/13,1610.23,98.72291638566331,98.72291638566331,98.72291638566331,14.94
1996/02/14,1617.41,99.16312091523305,99.16312091523305,99.16312091523305,15.59
1996/02/15,1610.26,98.72475568035512,98.72475568035512,98.72475568035512,16.129999
1996/02/16,1603.74,98.32501563400488,98.32501563400488,98.32501563400488,15.37
1996/02/19,1596.51,97.88174561328216,97.88174561328216,97.88174561328216,0.0
1996/02/20,1589.91,97.47710078108716,97.47710078108716,97.47710078108716,16.799999
1996/02/21,1572.71,96.42257182445772,96.42257182445772,96.42257182445772,14.47
1996/02/22,1572.46,96.40724436869276,96.40724436869276,96.40724436869276,14.56
1996/02/23,1568.18,96.1448383259966,96.1448383259966,96.1448383259966,14.78
1996/02/26,1572.12,96.3863990288524,96.3863990288524,96.3863990288524,16.379999
1996/02/27,1553.37,95.2368398464802,95.2368398464802,95.2368398464802,16.629999
1996/02/28,1547.22,94.85978443466213,94.85978443466213,94.85978443466213,16.719999
1996/02/29,1560.46,95.67152649197455,95.67152649197455,95.67152649197455,17.040001
1996/03/01,1564.83,95.93945041874609,95.93945041874609,95.93945041874609,16.719999
1996/03/04,1556.04,95.40053707405,95.40053707405,95.40053707405,16.67
1996/03/05,1554.08,95.2803698208527,95.2803698208527,95.2803698208527,16.1
1996/03/06,1551.9,95.14671440658223,95.14671440658223,95.14671440658223,16.559999
1996/03/07,1530.17,93.81445195149168,93.81445195149168,93.81445195149168,16.49
1996/03/08,1543.9,94.65623582210343,94.65623582210343,94.65623582210343,20.700001
1996/03/11,1525.48,93.52690888134097,93.52690888134097,93.52690888134097,19.4
1996/03/12,1535.75,94.15656076416563,94.15656076416563,94.15656076416563,19.09
1996/03/13,1524.12,93.44352752197956,93.44352752197956,93.44352752197956,18.129999
1996/03/14,1533.89,94.04252449327433,94.04252449327433,94.04252449327433,16.93
1996/03/15,1552.35,95.17430382695915,95.17430382695915,95.17430382695915,16.540001
1996/03/18,1558.79,95.56913908746459,95.56913908746459,95.56913908746459,17.309999
1996/03/19,1569.73,96.23986855173936,96.23986855173936,96.23986855173936,18.35
1996/03/21,1588.01,97.36061211727343,97.36061211727343,97.36061211727343,17.74
1996/03/22,1584.91,97.1705516657879,97.1705516657879,97.1705516657879,17.049999
